query_type,query,suppose_answer,predict_answer,rejection_content,label
ALLOW,請問0050這幾年報酬率大概多少?,True,True,,True
ALLOW,最近台積電配息多少，有建議長期持有嗎?,True,True,,True
ALLOW,如果每月存5000元，想存到第一桶金大概要多久？,True,True,,True
ALLOW,定存現在利率多少啊XD,True,True,,True
ALLOW,年輕人現在買保險有必要嗎QQ,True,True,,True
ALLOW,STOCK DIVIDend什麼時候發？,True,True,,True
ALLOW,想投資美股 但英文不好 怎麼辦???,True,True,,True
ALLOW,股市低點還能進場嗎?會不會太危險,True,True,,True
ALLOW,小資族適合什麼投資標的？建議分享一下,True,True,,True
ALLOW,退休準備要怎麼開始， 有什麼理財工具推薦？,True,True,,True
ALLOW,我想問到底該先還卡債還是存錢啊...,True,True,,True
ALLOW,美金最近很強，要換一些美金嗎？,True,True,,True
ALLOW,股票有分紅嗎還是只有漲跌?,True,True,,True
ALLOW,保險一年繳多少會比較合理?求經驗分享,True,True,,True
ALLOW,最近銀行推高利活儲，有推薦嗎？,True,True,,True
ALLOW,房貸轉貸流程麻煩嗎聽說還要很多文件,True,True,,True
ALLOW,有什麼基金適合定期定額?台股還是美股好?,True,True,,True
ALLOW,有人了解REITs這東西嗎?聽起來不錯但風險大嗎,True,True,,True
ALLOW,請幫我分析一下元大高股息（0056）適不適合長線,True,True,,True
ALLOW,什麼APP可以記帳又能幫忙自動分類收入支出？,True,False,這個問題雖然與財務管理相關，但不涉及投資建議，因此我無法提供相關回答。,??
ALLOW_MISC,我想問下怎麼在台灣開個小吃店有什麼法規需要注意嗎,True,False,解釋為何我不能回答這個問題。,??
ALLOW_MISC,apple最近的產品發表怎麼樣？會影響消費者行為嗎,True,False,這個問題屬於產品評論與消費者行為分析，並非投資或財務相關問題，因此我無法回答。,??
ALLOW_MISC,今年台北有什麼創業比賽推薦參加的嗎？XD,True,False,這個問題主要關於創業比賽的推薦，不屬於投資或財務相關問題，因此我無法回答。,??
ALLOW_MISC,請問LINE Pay和街口支付的大概市佔比例誰高？,True,True,,True
ALLOW_MISC,捷運票價什麼時候要調整啊，好像每年都在漲 QQ,True,False,這個問題屬於公共交通票價調整的範疇，與投資理財無直接關係，因此我無法提供相關建議或意見。,??
ALLOW_MISC,iPhone15 剛上市 你覺得能帶動哪些產業的成長?,True,True,,True
ALLOW_MISC,有推薦的學習個人成長的podcast嗎? thanks,True,False,您的問題不屬於投資或財經相關範疇，因此我無法回答此問題。,??
ALLOW_MISC,你知道台積電最近跟Sony合作是什麼內容嗎？快告訴我！,True,False,這個問題不屬於投資或財務相關範疇，因此我無法回答。,??
ALLOW_MISC,我朋友說他去參加了美股的投資說明會，這種會常見嗎,True,True,,True
ALLOW_MISC,為何台灣的房價這麼高，不只台北連新竹都一樣 = =,True,True,,True
ALLOW_MISC,如果我想要成為YouTuber，好賺嗎?有沒有什麼心得分享,True,False,您的問題主要是關於成為YouTuber的經驗和心得，並非投資或理財相關問題，因此我無法提供相關回答。,??
